10,3758229,1133660,4,Thu Feb 15 2018 13:15:24 GMT-0800 (PST),Sunt odit fugiat dolorem voluptatem. Et quia ipsum quia enim ex error. Quas dolor officiis laudantium et consequuntur. Deleniti itaque voluptatem recusandae. Est incidunt itaque ipsa dolor qui corrupti. Nihil omnis modi adipisci nemo.10,7,0,2
9,2267271,9047618,8,Tue Jan 02 2018 05:21:11 GMT-0800 (PST),Eligendi suscipit illum totam ut sunt nihil rerum ipsam. Pariatur assumenda alias et minima voluptatum mollitia. Recusandae iusto enim dolorum modi quae iusto nostrum quos doloremque. Quis non est.9,2,7,5
8,1257940,6807064,1,Tue Dec 19 2017 01:36:12 GMT-0800 (PST),Ut ullam aut eaque ex in corrupti quidem. Similique adipisci error et. Hic sapiente iste dolor consequatur aut vitae. Rerum occaecati fugit culpa. Dicta doloremque et odio odit ad. Iusto autem quis nihil iure harum dolorem ut alias ullam.8,2,7,6
7,9844428,8962694,5,Fri Jan 05 2018 16:46:38 GMT-0800 (PST),Vero non enim atque eveniet enim impedit. Qui ipsa vitae qui et repellendus dolores dolorum itaque eius. At dolorum pariatur dolorem sapiente fuga itaque pariatur. Labore ex voluptates voluptas qui necessitatibus quaerat. Debitis voluptates ipsam dolor hic id dolor sint dolorem.7,5,0,4
6,7634204,6681809,1,Wed Mar 07 2018 12:44:16 GMT-0800 (PST),Ab at et qui est qui est sunt. Voluptate perferendis et est officia voluptatum consequatur assumenda sint. Sit dolorem doloribus sed et aut. Perferendis quo doloremque fugiat perferendis quia. Molestiae esse natus facilis omnis. Est est sed dolorum aut ut alias.6,6,5,7
5,1126924,3314845,0,Sat Jan 13 2018 19:50:36 GMT-0800 (PST),Placeat quam tempore eos odit voluptatem praesentium eum aut velit. Deserunt iure praesentium voluptatem sint aut natus. Vero necessitatibus earum pariatur veniam. Magni suscipit consequuntur aut beatae. Sit non vero id sit voluptatem.5,1,4,2
4,7673562,2697946,2,Wed Jan 17 2018 22:53:46 GMT-0800 (PST),Architecto veniam et dolore id non. Facilis aut placeat sapiente est eos. Qui accusantium amet nemo error reprehenderit architecto asperiores quia.4,0,0,6
3,9489995,7598308,5,Sat Dec 23 2017 09:07:16 GMT-0800 (PST),Aperiam voluptatum inventore sint nobis ea asperiores itaque. Non perferendis quasi quod dolorem laboriosam odio eum ipsum nulla. Molestiae quae veritatis voluptatibus et velit cum laboriosam rerum amet. Omnis aut illum ut. Aliquam voluptatibus dolorem vitae ea autem nisi. Eius est dolor deserunt dolor nobis rerum.3,7,2,4
2,5905742,3356350,6,Tue Feb 27 2018 11:49:32 GMT-0800 (PST),Ex aut corrupti rerum enim laborum iusto deserunt dolores distinctio. Enim id omnis sint voluptatem. Ducimus est possimus veritatis.2,4,3,5
1,6872757,6449754,5,Fri Mar 02 2018 21:11:28 GMT-0800 (PST),Quidem optio sit ipsam voluptatem enim. Similique id voluptate laboriosam rem provident optio.1,5,1,1
